t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
16.687,1788242746.146116,1788242745.243502,-902.614,100.931,7e-05,-0.00798
16.79,1788242746.249043,1788242745.346609,-902.434,103.107,7e-05,-0.00798
16.907,1788242746.352207,1788242745.463733,-888.475,117.123,7e-05,-0.00798
16.996,1788242746.455533,1788242745.553023,-902.51,89.291,7e-05,-0.00798
17.1,1788242746.558789,1788242745.656621,-902.169,103.598,7e-05,-0.00798
17.204,1788242746.661697,1788242745.760735,-900.961,104.114,7e-05,-0.00798
17.307,1788242746.765436,1788242745.864109,-901.327,103.374,7e-05,-0.00798
17.412,1788242746.868656,1788242745.968928,-899.729,104.819,7e-05,-0.00798
17.515,1788242746.972153,1788242746.072123,-900.03,103.195,7e-05,-0.00798
17.617,1788242747.074848,1788242746.173322,-901.526,101.199,7e-05,-0.00798
17.723,1788242747.178109,1788242746.279576,-898.532,106.255,7e-05,-0.00798
17.824,1788242747.282626,1788242746.380765,-901.86,101.189,7e-05,-0.00798
17.926,1788242747.38511,1788242746.482922,-902.187,102.157,7e-05,-0.00798
18.029,1788242747.487926,1788242746.585748,-902.178,102.825,7e-05,-0.00798
18.131,1788242747.591583,1788242746.688241,-903.342,102.494,7e-05,-0.00798
18.236,1788242747.694197,1788242746.792727,-901.47,104.485,7e-05,-0.00798
18.339,1788242747.796853,1788242746.895345,-901.508,102.618,7e-05,-0.00798
18.452,1788242747.900712,1788242747.008381,-892.33,113.036,7e-05,-0.00798
18.545,1788242748.003815,1788242747.101748,-902.067,93.366,7e-05,-0.00798
18.648,1788242748.107317,1788242747.20467,-902.647,102.923,7e-05,-0.00798
18.753,1788242748.210251,1788242747.310217,-900.034,105.547,7e-05,-0.00798
18.854,1788242748.313624,1788242747.41123,-902.394,101.013,7e-05,-0.00798
18.959,1788242748.416837,1788242747.515987,-900.85,104.757,7e-05,-0.00798
19.067,1788242748.519806,1788242747.623409,-896.397,107.422,7e-05,-0.00798
19.169,1788242748.623053,1788242747.726007,-897.046,102.598,7e-05,-0.00798
19.269,1788242748.726512,1788242747.825283,-901.229,99.276,7e-05,-0.00798
19.374,1788242748.829527,1788242747.930408,-899.119,105.125,7e-05,-0.00798
19.475,1788242748.933204,1788242748.031358,-901.845,100.95,7e-05,-0.00798
19.58,1788242749.036186,1788242748.136628,-899.558,105.27,7e-05,-0.00798
19.682,1788242749.139329,1788242748.238529,-900.799,101.901,7e-05,-0.00798
19.786,1788242749.242397,1788242748.342432,-899.965,103.903,7e-05,-0.00798
19.889,1788242749.345823,1788242748.445964,-899.859,103.532,7e-05,-0.00798
19.994,1788242749.451061,1788242748.550429,-900.632,104.465,7e-05,-0.00798
