t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
318.924,1788243047.356586,18.6799,-1.2628,-1.498,0.315479,-0.012397,0.0296634,0.0675583,0.345143,0.56168,0.17223,14.8923
320.56,1788243049.017349,18.9763,-1.2807,-0.803,0.31568,-0.00955729,0.0330844,0.0669647,0.348764,0.56185,0.18189,14.8267
322.227,1788243050.677923,19.2455,-1.2956,0.038,0.306851,-0.0115846,0.0349965,0.0688954,0.341847,0.55394,0.18707,15.0390
323.88,1788243052.338051,19.5415,-1.3035,0.462,0.313913,-0.0182048,0.0393901,0.0682705,0.353303,0.56028,0.19847,14.9706
325.546,1788243053.99836,19.8095,-1.3069,-1.885,0.291792,-0.0149455,0.0442081,0.0761665,0.336,0.54018,0.21026,15.8127
327.302,1788243055.760942,20.0907,-1.3036,-4.432,0.294479,-0.0109239,0.0466749,0.0748338,0.341154,0.54266,0.21604,15.6737
329.177,1788243057.52611,20.4072,-1.3334,-8.411,0.293675,-0.019857,0.0478146,0.0716173,0.34149,0.54192,0.21867,15.3332
330.835,1788243059.289129,20.6894,-1.362,-2.98,0.293416,-0.0175302,0.0463362,0.0668495,0.339752,0.54168,0.21526,14.8140
332.599,1788243061.053343,20.9861,-1.3926,-3.659,0.303975,-0.0154041,0.0525026,0.0712071,0.356477,0.55134,0.22913,15.2892
334.364,1788243062.815645,21.2897,-1.4298,-2.594,0.313672,-0.0195349,0.0547429,0.0764682,0.368415,0.56006,0.23397,15.8439
336.123,1788243064.579948,21.6089,-1.4534,-1.383,0.31171,-0.012059,0.0496711,0.0780422,0.361382,0.55831,0.22287,16.0062
339.65,1788243068.107513,21.8671,-1.4815,-12.418,0.339357,-0.00672034,0.0474418,0.0796038,0.386799,0.58254,0.21781,16.1655
341.413,1788243069.869669,22.1057,-1.5096,0.153,0.367043,-0.00585124,0.0502616,0.077029,0.417305,0.60584,0.22419,15.9019
343.177,1788243071.633656,22.3899,-1.5007,0.768,0.369242,-0.00689755,0.0562239,0.0820476,0.425466,0.60765,0.23712,16.4118
344.946,1788243073.398329,22.6646,-1.5026,-1.13,0.380099,-0.00851492,0.0557193,0.082049,0.435819,0.61652,0.23605,16.4119
346.71,1788243075.163134,22.9491,-1.5194,-2.491,0.363998,-0.0138935,0.053559,0.079636,0.417557,0.60332,0.23143,16.1688
348.48,1788243076.927248,23.2445,-1.5408,-2.266,0.340065,-0.0272376,0.059205,0.0760205,0.39927,0.58315,0.24332,15.7975
350.241,1788243078.690589,23.5212,-1.5707,-2.024,0.370873,-0.0320682,0.0651301,0.0773403,0.436003,0.60899,0.25521,15.9340
351.996,1788243080.453562,23.8247,-1.62,-2.663,0.374211,-0.0402538,0.0682937,0.0860257,0.442504,0.61173,0.26133,16.8049
353.759,1788243082.216143,24.0921,-1.6489,-1.477,0.395458,-0.0490135,0.0755004,0.0878822,0.470958,0.62885,0.27477,16.9853
356.354,1788243084.602449,24.3648,-1.6781,-3.277,0.388177,-0.0553532,0.0659903,0.0695947,0.454168,0.62304,0.25689,15.1151
361.929,1788243089.896651,24.6516,-1.7246,-2.698,0.398575,-0.0611608,0.0719147,0.0755453,0.47049,0.63133,0.26817,15.7480
367.454,1788243095.70952,24.9057,-1.7548,2.5,0.386901,-0.0565406,0.0734807,0.0772571,0.460382,0.62201,0.27107,15.9255
377.909,1788243106.300674,25.1383,-1.7685,1.08,0.413015,-0.0659419,0.0751403,0.0840986,0.488155,0.64266,0.27412,16.6156
380.658,1788243109.10484,25.4355,-1.8118,-6.011,0.436236,-0.0741403,0.0746781,0.0910294,0.510914,0.66048,0.27327,17.2868
